1 2964,1979,3325,2043
2 2632,1979,2957,2042
3 2112,1977,2625,2041
4 1702,1976,2106,2041
5 1529,1976,1695,2039
6 1350,1976,1522,2039
7 1170,1975,1343,2038
8 975,1975,1163,2038
9 552,1974,968,2037
10 278,1974,545,2037
11 2964,1910,3325,1974
12 2632,1909,2957,1972
13 2112,1907,2625,1972
14 1702,1907,2106,1971
15 1529,1907,1695,1969
16 1350,1906,1522,1969
17 1170,1906,1343,1968
18 975,1905,1163,1968
19 552,1905,968,1968
20 278,1904,545,1967
21 2964,1840,3325,1904
22 2632,1839,2957,1903
23 2112,1837,2625,1902
24 1702,1837,2106,1901
25 1529,1836,1696,1900
26 1350,1836,1522,1899
27 1170,1836,1343,1899
28 975,1835,1163,1899
29 552,1834,969,1898
30 278,1834,545,1897
31 2964,1770,3325,1834
32 2632,1770,2957,1833
33 2113,1768,2625,1832
34 1702,1767,2106,1831
35 1529,1767,1696,1830
36 1350,1766,1522,1829
37 1170,1766,1343,1829
38 976,1765,1163,1828
39 553,1765,969,1828
40 278,1764,545,1827
41 2964,1702,3325,1765
42 2632,1701,2957,1763
43 2113,1699,2626,1763
44 1703,1698,2106,1762
45 1529,1698,1696,1760
46 1350,1698,1523,1760
47 1170,1697,1343,1759
48 976,1697,1164,1759
49 553,1696,969,1758
50 278,1696,546,1757
51 2965,1632,3325,1696
52 2633,1631,2958,1695
53 2113,1630,2626,1694
54 1703,1629,2107,1693
55 1529,1628,1696,1692
56 1350,1628,1523,1691
57 1171,1628,1343,1691
58 976,1627,1164,1690
59 553,1627,969,1690
60 278,1626,546,1689
61 2965,1563,3325,1626
62 2633,1562,2958,1625
63 2113,1560,2626,1624
64 1703,1560,2107,1624
65 1529,1559,1696,1622
66 1350,1559,1523,1622
67 1171,1558,1344,1621
68 976,1558,1164,1621
69 553,1557,969,1620
70 278,1557,546,1620
71 2965,1494,3325,1557
72 2633,1493,2958,1556
73 2113,1491,2626,1555
74 1703,1490,2107,1554
75 1529,1490,1696,1553
76 1350,1490,1523,1552
77 1171,1489,1344,1552
78 976,1489,1164,1551
79 553,1488,969,1551
80 279,1487,546,1550
81 2965,1424,3325,1488
82 2633,1423,2958,1487
83 2113,1421,2626,1486
